"","samp_id","meas_yr","Age","LateSuc_sp","Species_Div","MaxHgt","Special_Att","MaxDBH","DBH_CV","Hght_CV","DeadFallen_bio","DeadStand_bio","Live_bio","LargeTreesDen","TreeDen","CExyz","CVHeight","FD","CRugos","MADHeight","FHD","CANCOV","Hght_Max","outlier","SI","BEC","AOI","year","IMAT","Stand_Age","Productivity","Age_Productivity","Old_prod","ogi_cluster","BECsubzone","BECzone","PC1","PC2","PC3"
"242","07012BR000019",2007,-0.174120027545148,0.412462226982366,-0.259969773317698,1.12237348327908,-0.803441598942479,0.315897634742148,1.90208088261831,1.82011538790498,0.830462591458012,0.845090210680971,-0.684693887057918,-0.174359478519867,0.209131447730639,1.08734938063308,0.0295527333160131,-0.213085247757896,0.27706607170799,1.78077224036792,0.423867898956139,0.666403658618685,1.35830894809795,FALSE,-0.214085800088663,"CWHxm1","AOI",2018,0.670392345290168,"140 - 250yrs","High-Prod","High-Prod_140 - 250yrs","140 - 250yrs","High","CWHxm","CWH",1.58221379484026,2.69672298376573,0.663075544204608
"243","07012BR000020",1997,-0.174464402154343,0.412462226982366,-0.321053984933596,1.33693400414324,0.178920469828746,-0.170725087243117,0.0441817404061977,0.384971849617108,-0.489314008475097,2.91482837007341,-0.719868394121261,-0.368081494057725,-0.639206058278422,1.24994110321355,-0.115579636453864,-0.772626636961824,0.604183575583538,2.17882380098433,1.59144079600475,0.73195593569583,1.62551979054366,FALSE,0.822392038058296,"CWHxm1","AOI",2018,0.459581098248947,"140 - 250yrs","High-Prod","High-Prod_140 - 250yrs","140 - 250yrs","High","CWHxm","CWH",0.739431581992071,1.03538586122323,-0.370089577821013
"245","07012BR000022",2007,-0.100151842097446,0.412462226982366,-0.10602986945957,0.71544835750222,0.749496670280316,0.195696006203955,1.35390565755002,2.47799307754002,0.578663899904127,-0.631434221685717,0.1627248820063,-0.368081494057725,-0.237020234326736,0.9992935156819,-0.0906879638650779,0.562293884195651,1.00495438911313,1.02792120258117,0.103693384291334,0.593593988091681,0.838518404435546,FALSE,-0.503735570730356,"CWHxm1","AOI",2018,0.530772483019011,"140 - 250yrs","High-Prod","High-Prod_140 - 250yrs","140 - 250yrs","High","CWHxm","CWH",1.48019109637588,2.07412085926011,-0.176962218039116
"246","07012BR000023",2007,-0.154381212192838,0.20254506296623,1.10018674616276,0.641461970997337,0.10420215786485,0.529158588600233,1.45265186838488,0.620551185382872,1.56403362432707,-0.598938132606162,-0.168596559567108,0.206997156842326,-0.499106557176041,0.485389418022009,-0.659939182669008,0.539667050460479,0.217598309517752,-0.296119844369911,-1.04073675342314,0.550628341524131,0.277914677344833,FALSE,-1.48320135002771,"CWHxm1","AOI",2018,0.88349227805794,"140 - 250yrs","Low-Prod","Low-Prod_140 - 250yrs","140 - 250yrs","High","CWHxm","CWH",1.70745814023699,1.12228906580574,0.0588875710376224
"248","07012BR000025",2007,-0.104702859007464,0.412462226982366,0.195586522606534,1.01139390352175,0.833210552972052,-0.186234974796433,0.993155054885061,1.44410934840289,1.47798037705501,-0.451149471209499,-0.251313364328813,-0.368081494057725,-0.665802980634649,0.428935293847851,-0.783139122780374,-0.589043372546921,0.0538356694484173,0.296049941340323,0.747797795901127,0.742896929762957,0.937086092715232,FALSE,0.264986765587942,"CWHxm1","AOI",2018,0.636775938502836,"140 - 250yrs","High-Prod","High-Prod_140 - 250yrs","140 - 250yrs","High","CWHxm","CWH",1.35010731994496,1.71562506719369,-0.474539296987977
"249","07012BR000026",2007,-0.143404996902867,0.412462226982366,1.17042105809233,0.685853802900267,0.749496670280316,-0.0466459868165954,0.65927972178435,1.60276837946443,0.908811312000304,-0.55423755064837,-0.288291716124548,-0.368081494057725,-0.687925429856195,0.39085776110232,-1.04784518984164,-0.44815476254567,-0.409247489715784,0.0787397367708457,1.21860191601618,0.751671525400724,1.05644540274141,FALSE,0.60807551871883,"CWHxm1","AOI",2018,0.54016999478101,"140 - 250yrs","High-Prod","High-Prod_140 - 250yrs","140 - 250yrs","High","CWHxm","CWH",1.2214145707636,1.35720767542482,-0.139076132739996
"251","07012BR000031",2007,-0.104702859007464,-0.0435588773073369,0.791537517712781,1.01139390352175,-0.441816275717468,0.498138813493602,2.00897535860992,1.52453119039941,1.3704494156265,-0.439324217157269,-0.334154884185931,0.124807378787683,-0.800962759363272,0.711641229483134,-0.283181754007943,0.380415589436382,0.0424686743760764,0.350595368621321,0.791270330104735,0.46213280413048,0.441167411058063,FALSE,0.56469014948465,"CWHxm1","AOI",2018,0.841201112616873,"140 - 250yrs","High-Prod","High-Prod_140 - 250yrs","140 - 250yrs","High","CWHxm","CWH",2.07157967818099,1.99626794648072,0.128032437663944
"252","07012BR000033",2015,-0.165400652018014,0.412462226982366,1.00878538083832,0.19014501331755,0.0474162407722885,0.195696006203955,0.553600829663804,1.04171953260109,4.15361261143876,-0.431846925058038,-0.716359113971368,-0.368081494057725,-0.968156831814617,0.748012170324725,-0.410383253728489,0.162564847388973,0.531376191691408,0.313808698757411,0.66609793001514,0.573148894561026,1.12883104882181,FALSE,0.385536441593705,"CWHxm1","AOI",2018,1.19035639041575,"140 - 250yrs","High-Prod","High-Prod_140 - 250yrs","140 - 250yrs","High","CWHxm","CWH",1.7072897302267,1.81410405713269,-0.136162518167251
"253","07012CR000504",1988,-0.515557015255305,0.403878766671645,-1.612464819731,-1.32657591003255,-0.635614367636826,-0.868670027142303,0.289027532863515,-0.0102806484906422,-0.489314008475097,-0.636371799674759,-0.954463375310956,-0.368081494057725,0.301071295845203,-9.3076598360057,0.244456485467485,-8.37073866804426,-1.61226642036513,-1.48947591581558,-4.40857410186847,-3.63735535104416,-2.41960572924688,FALSE,-0.807425938163094,"CWHxm1","AOI",2018,-1.10182535978791,"70 - 140yrs","Low-Prod","Low-Prod_70 - 140yrs","70 - 140yrs","Low","CWHxm","CWH",-1.96008616392845,0.722691682641214,0.417837223250018
"254","07012CR000505",1988,-0.508217236560609,0.385007896759864,-0.549970336696815,-1.37836638058597,-1.02218516474581,-1.15172547499031,-0.211116487402192,-0.675616662368641,-0.489314008475097,-0.621323677779414,-0.945066208401774,-0.368081494057725,0.899968936060018,-9.3076598360057,0.244456485467485,-8.37073866804426,-1.61226642036513,-1.48947591581558,-4.40857410186847,-3.63735535104416,-2.41960572924688,FALSE,-0.814272015947335,"CWHxm1","AOI",2018,-1.17359077675453,"70 - 140yrs","Low-Prod","Low-Prod_70 - 140yrs","70 - 140yrs","Low","CWHxm","CWH",-2.39911808923068,0.109992990585673,1.10396013210051
